scientificName,englishName,class,orign,Edible fruit
(Juniperus communis),Common juniper,Conifer,Native,
(Juniperus excelsa),Grecian Juniper,Conifer,Introduced,
(Juniperus horizontalis),Creeping juniper,Conifer,Native,
(Juniperus sabina),Savin juniper,Conifer,Introduced,
(Juniperus scopulorum),Rocky Mountain juniper,Conifer,Native,
(Juniperus virginiana),Eastern redcedar,Conifer,Native,
(Laburnum anagyroides),Common laburnum,Deciduous,Introduced,
(Laburnum x watereri),Goldenchain tree,Deciduous,Introduced,
(Larix decidua),European larch,Conifer,Naturalized,
(Larix gmelinii),Dahurian larch,Conifer,Introduced,
(Larix kaempferi),Japanese larch,Conifer,Introduced,
(Larix laricina),Tamarack,Conifer,Native,
(Larix lyallii),Subalpine larch,Conifer,Native,
(Larix occidentalis),Western larch,Conifer,Native,
(Larix sibirica),Siberian larch,Conifer,Introduced,
(Liquidambar styraciflua),Sweetgum,Deciduous,Introduced,
(Liriodendron tulipifera),Tulip-tree,Deciduous,Native,
(Maclura pomifera),Osage-orange,Deciduous,Introduced,
(Magnolia acuminata),Cucumber-tree,Deciduous,Native,
(Magnolia x soulangiana),Saucer magnolia,Deciduous,Introduced,
(Malus baccata),Siberian crab apple,Deciduous,Introduced,Edible Tree
(Malus coronaria),Wild crab apple,Deciduous,Native,Edible Tree
(Malus fusca),Pacific crab apple,Deciduous,Native,Edible Tree
(Malus 'Royalty'),Royalty Crab Apple,Deciduous,Native,Edible Tree
(Malus sylvestris),Common apple,Deciduous,Naturalized,Edible Tree
(Metasequoia glyptostroboides),Dawn redwood,Conifer,Introduced,
(Morus alba),White mulberry,Deciduous,Naturalized,
(Morus rubra),Red mulberry,Deciduous,Native,Edible Tree
(Myrica californica),Pacific bayberry,Deciduous,Native,Edible Tree
(Nemopanthus mucronatus),Mountain-holly,Deciduous,Native,
(Nyssa sylvatica),Black-gum,Deciduous,Native,Edible Tree
(Ostrya virginiana),Ironwood,Deciduous,Native,
(Phellodendron amurense),Amur corktree,Deciduous,Introduced,
(Picea abies),Norway spruce,Conifer,Introduced,
(Picea engelmannii),Engelmann spruce,Conifer,Native,
(Picea glauca),White spruce,Conifer,Native,
(Picea mariana),Black spruce,Conifer,Native,
(Picea omorika),Serbian spruce,Conifer,Introduced,
(Picea pungens),Colorado spruce,Conifer,Introduced,
(Picea rubens),Red spruce,Conifer,Native,
(Picea sitchensis),Sitka spruce,Conifer,Native,
(Pinus albicaulis),Whitebark pine,Conifer,Native,
(Pinus aristata),Bristlecone pine,Conifer,Introduced,
(Pinus banksiana),Jack pine,Conifer,Native,
(Pinus contorta var. contorta),Shore pine,Conifer,Native,
(Pinus contorta var. latifolia),Lodgepole pine,Conifer,Native,
(Pinus flexilis),Limber pine,Conifer,Native,
(Pinus monticola),Western white pine,Conifer,Native,
(Pinus mugo),Mugho pine,Conifer,Introduced,
(Pinus nigra),Austrian pine,Conifer,Introduced,
(Pinus ponderosa),Ponderosa pine,Conifer,Native,
(Pinus radiata),Monterey Pine,Conifer,Native,
(Pinus resinosa),Red pine,Conifer,Native,
(Pinus rigida),Pitch pine,Conifer,Native,
(Pinus strobus),Eastern white pine,Conifer,Native,
(Pinus sylvestris),Scots pine,Conifer,Naturalized,
(Pinus Wallichiana),Himalayan Pine,Conifer,Native,
(Platanus occidentalis),Sycamore,Deciduous,Native,
(Platanus x acerifolia),London plane-tree,Deciduous,Introduced,
(Populus alba),European white poplar,Deciduous,Introduced,
(Populus angustifolia),Narrowleaf cottonwood,Deciduous,Native,
(Populus balsamifera),Balsam poplar,Deciduous,Native,
(Populus deltoides ssp. deltoides),Eastern cottonwood,Deciduous,Native,
(Populus deltoides ssp. monilifera),Plains cottonwood,Deciduous,Native,
(Populus grandidentata),Largetooth aspen,Deciduous,Native,
(Populus nigra cv. Italica),Lombardy poplar,Deciduous,Introduced,
(Populus simonii),Simon poplar,Deciduous,Introduced,
(Populus tremuloides),Trembling aspen,Deciduous,Native,
(Populus trichocarpa),Black cottonwood,Deciduous,Native,
(Populus x acuminata),Lanceleaf cottonwood,Deciduous,Native,
(Populus xcanadensis),Carolina poplar,Deciduous,Introduced,
(Populus xjackii),Jack's hybrid poplar,Deciduous,Native,
(Prunus americana),American plum,Deciduous,Native,Edible Tree
(Prunus avium),Sweet cherry,Deciduous,Naturalized,Edible Tree
(Prunus cerasus),Sour cherry,Deciduous,Naturalized,Edible Tree
